"ship_to_state","total_qty"
"CA",69179
"FL",46867
"PA",46513
"TX",46353
"NY",45968
"OH",38454
"IL",29557
"MI",28836
"NJ",25173
"VA",25004
"NC",23190
"CO",22692
"IN",20134
"WA",19929
"MN",17972
"MA",17635
"AZ",16965
"GA",16792
"MO",16482
"WI",16464
"MD",16332
"TN",15697
"OR",12985
"UT",12420
"SC",11639
"KY",9433
"KS",8668
"IA",8259
"CT",8148
"OK",7835
"AL",7258
"ID",7125
"NV",6654
"NE",6493
"LA",5991
"NH",5399
"AR",5088
"WV",4541
"MT",4174
"ME",4027
"NM",3964
"MS",3384
"DE",3318
"SD",3301
"RI",2891
"HI",2270
"ND",2249
"PR",2240
"AK",2208
"WY",1919
"DC",1710
"VT",1497
"GU",84
"MP",29
"VI",0
